date,total_cases,cases,cases_avg7
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,0
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,0,0,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,1,1,0.14285714285714285
2020-03-14,1,0,0.14285714285714285
2020-03-15,14,13,2
2020-03-16,16,2,2.2857142857142856
2020-03-17,20,4,2.857142857142857
2020-03-18,22,2,3.142857142857143
2020-03-19,29,7,4.142857142857143
2020-03-20,44,15,6.142857142857143
2020-03-21,57,13,8
2020-03-22,80,23,9.428571428571429
2020-03-23,109,29,13.285714285714286
2020-03-24,124,15,14.857142857142858
2020-03-25,151,27,18.428571428571427
2020-03-26,178,27,21.285714285714285
2020-03-27,218,40,24.857142857142858
2020-03-28,276,58,31.285714285714285
2020-03-29,321,45,34.42857142857143
2020-03-30,360,39,35.857142857142854
2020-03-31,396,36,38.857142857142854
2020-04-01,396,0,35
2020-04-02,476,80,42.57142857142857
2020-04-03,541,65,46.142857142857146
2020-04-04,650,109,53.42857142857143
2020-04-05,741,91,60
2020-04-06,777,36,59.57142857142857
2020-04-07,807,30,58.714285714285715
2020-04-08,858,51,66
2020-04-09,858,0,54.57142857142857
2020-04-10,1011,153,67.14285714285714
2020-04-11,1071,60,60.142857142857146
2020-04-12,1126,55,55
2020-04-13,1157,31,54.285714285714285
2020-04-14,1187,30,54.285714285714285
2020-04-15,1285,98,61
2020-04-16,1377,92,74.14285714285714
2020-04-17,1456,79,63.57142857142857
2020-04-18,1547,91,68
2020-04-19,1615,68,69.85714285714286
2020-04-20,1671,56,73.42857142857143
2020-04-21,1714,43,75.28571428571429
2020-04-22,1795,81,72.85714285714286
2020-04-23,1889,94,73.14285714285714
2020-04-24,1975,86,74.14285714285714
2020-04-25,2051,76,72
2020-04-26,2144,93,75.57142857142857
2020-04-27,2190,46,74.14285714285714
2020-04-28,2256,66,77.42857142857143
2020-04-29,2348,92,79
2020-04-30,2438,90,78.42857142857143
2020-05-01,2526,88,78.71428571428571
2020-05-02,2609,83,79.71428571428571
2020-05-03,2707,98,80.42857142857143
2020-05-04,2769,62,82.71428571428571
2020-05-05,2832,63,82.28571428571429
2020-05-06,2912,80,80.57142857142857
2020-05-07,3010,98,81.71428571428571
