id,date_created,date_closed,days_open,district,neighborhood,lat,long,tract
846272,2020-01-28,2020-01-30,2,5,East Liberty Park,40.74031,-111.8698416,103400
842349,2020-01-22,2020-02-05,14,2,Poplar Grove,40.7608214,-111.9271982,102702
846518,2020-01-28,2020-02-07,10,5,Ball Park,40.7397588,-111.8918147,102900
856717,2020-02-13,2020-02-18,5,4,Central City,40.7556346,-111.8785275,102000
853126,2020-02-07,2020-02-24,17,7,Sugar House,40.7248722,-111.8741622,104900
860636,2020-02-19,2020-03-02,12,2,Glendale,40.7490259,-111.922058,102801
886484,2020-03-13,2020-03-13,0,4,Central City,40.7651823,-111.8817625,102100
893352,2020-03-26,2020-03-27,1,4,Central City,40.7583057,-111.885426,102300
887153,2020-03-15,2020-04-01,17,4,Downtown,40.7584373,-111.9080133,114000
887091,2020-03-15,2020-04-01,17,5,Ball Park,40.7470619,-111.8942154,102900
887612,2020-03-16,2020-04-01,16,4,Downtown,40.7683058,-111.890674,114000
889687,2020-03-19,2020-04-01,13,2,Poplar Grove,40.7493828,-111.9281324,102801
901518,2020-04-07,2020-04-08,1,7,Sugar House,40.7256733,-111.8636701,103300
902341,2020-04-08,2020-04-09,1,4,Central City,40.7545369,-111.8838018,102300
901480,2020-04-07,2020-04-13,6,6,Council District 6,40.7513104,-111.8396212,101400
901427,2020-04-07,2020-04-13,6,7,Sugar House,40.723996,-111.8560356,114100
858225,2020-02-15,2020-04-14,59,3,Greater Avenues,40.7733228,-111.8817723,101102
912205,2020-04-21,2020-04-23,2,5,Ball Park,40.7369805,-111.8918919,102900
915320,2020-04-25,2020-04-27,2,4,Central City,40.7572913,-111.8808683,102300
922089,2020-05-04,2020-05-04,0,4,Central City,40.7545412,-111.8837657,102300
922419,2020-05-04,2020-05-04,0,4,Central City,40.7545412,-111.8837657,102300
896882,2020-03-31,2020-05-07,37,4,Central City,40.7674313,-111.8849525,102100
925830,2020-05-07,2020-05-08,1,2,Poplar Grove,40.7560754,-111.9321867,102701
926435,2020-05-08,2020-05-11,3,4,Central City,40.7597024,-111.8746193,102000
928075,2020-05-11,2020-05-13,2,4,Downtown,40.7612686,-111.8884659,114000
937848,2020-05-22,2020-05-22,0,4,Ball Park,40.7500568,-111.9035993,114000
937846,2020-05-22,2020-05-22,0,4,Ball Park,40.7500568,-111.9035993,114000
941036,2020-05-27,2020-05-28,1,5,Ball Park,40.745164,-111.8940312,102900
943647,2020-05-29,2020-06-02,4,5,Ball Park,40.7416341,-111.8882418,102900
945822,2020-06-01,2020-06-03,2,4,Central City,40.767139,-111.8830341,102100
949741,2020-06-05,2020-06-08,3,5,Ball Park,40.7374004,-111.899384,102900
954643,2020-06-11,2020-06-11,0,4,Central City,40.7545412,-111.8837657,102300
956467,2020-06-13,2020-06-16,3,6,Foothill/Sunnyside,40.7492593,-111.835376,104100
941337,2020-05-27,2020-06-17,21,7,Sugar House,40.7307162,-111.8613913,103300
957592,2020-06-15,2020-06-17,2,4,Ball Park,40.7502256,-111.8963518,114000
960568,2020-06-17,2020-06-18,1,4,Downtown,40.755799,-111.9027018,114000
973426,2020-07-02,2020-07-06,4,5,Ball Park,40.7374539,-111.8919485,102900
975745,2020-07-05,2020-07-07,2,4,Central City,40.7600381,-111.8838807,102300
970601,2020-06-29,2020-07-09,10,5,Central City/Liberty-Wells,40.7476982,-111.8785352,103000
969043,2020-06-27,2020-07-23,26,5,Ball Park,40.7369716,-111.8995458,102900
956538,2020-06-13,2020-07-23,40,5,Central City/Liberty-Wells,40.742017,-111.8722828,103000
998681,2020-07-27,2020-07-29,2,1,Fairpark,40.7779719,-111.935179,100600
1001714,2020-07-29,2020-07-31,2,2,Poplar Grove,40.7706019,-111.9135668,102600
1013846,2020-08-10,2020-08-11,1,5,Ball Park,40.7370537,-111.8909871,102900
1031324,2020-08-22,2020-08-26,4,7,Sugar House,40.7188169,-111.8712102,104900
