Id,DateCreated,DateUpdated,DateClosed,RequestType,ImageUrl,Address,AdditionalData,Status,InitialBoundaryName,AssignedTo,VendorTicketId,Location,New Georeferenced Column,Device type
2298215,09/26/2021 01:37:20 PM,10/22/2021 01:58:32 PM,10/22/2021 01:57:26 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2298215&imagesize=,"707 S 400 E, Salt Lake City, UT 84111",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 4;Central City",Dillon Hase,,"707 S 400 E, Salt Lake City, UT 84111","(40.753655, -111.8795265)",Apple
1879751,02/15/2021 08:43:09 AM,04/08/2021 11:27:06 AM,04/08/2021 11:26:03 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=1879751&imagesize=,"700 S 400 E, Salt Lake City, UT 84111",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 4;Central City",Taylor Palmer,,"700 S 400 E, Salt Lake City, UT 84111","(40.7535879, -111.8795659)",Apple
2341880,10/20/2021 11:05:28 AM,10/21/2021 01:04:25 PM,,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2341880&imagesize=,"721 W S Temple, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,In Process,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 4;Downtown",Dillon Hase,,"721 W S Temple, Salt Lake City, UT 84104","(40.7689326, -111.911775)",Android
2359015,10/30/2021 11:25:25 AM,10/30/2021 11:35:04 AM,,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2359015&imagesize=,"111 Downington Ave S, Salt Lake City, UT 84115",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Received,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Liberty-Wells",Dillon Hase,,"111 Downington Ave S, Salt Lake City, UT 84115","(40.7307662, -111.8875494)",Apple
2168972,07/23/2021 11:25:15 AM,08/06/2021 11:25:32 AM,08/06/2021 11:24:24 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2168972&imagesize=,"17 S 800 W, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Poplar Grove",Dillon Hase,,"17 S 800 W, Salt Lake City, UT 84104","(40.7688383, -111.9134957)",Apple
2309893,10/01/2021 08:32:16 PM,10/04/2021 12:26:20 PM,,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2309893&imagesize=,"1429 Hayes Ave, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,In Process,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Poplar Grove",Dillon Hase,,"1429 Hayes Ave, Salt Lake City, UT 84104","(40.7493402, -111.9317034)",Android
2328322,10/12/2021 03:28:09 PM,10/14/2021 04:06:01 PM,,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2328322&imagesize=,"725 W 900 S, Salt Lake City, UT 84105",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,In Process,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Poplar Grove",Dillon Hase,,"725 W 900 S, Salt Lake City, UT 84105","(40.749749, -111.9123742)",Apple
2005081,05/04/2021 08:30:39 PM,05/14/2021 01:27:08 PM,05/14/2021 01:26:07 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2005081&imagesize=,"746 W 900 S, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Poplar Grove",Dillon Hase,,"746 W 900 S, Salt Lake City, UT 84104","(40.7497432, -111.9124919)",Android
2279659,09/15/2021 04:57:25 PM,09/27/2021 11:28:52 AM,09/27/2021 11:27:43 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2279659&imagesize=,"1548 S 1200 W, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"1548 S 1200 W, Salt Lake City, UT 84104","(40.7356655, -111.9252859)",Apple
2228973,08/21/2021 07:48:47 AM,08/30/2021 09:25:41 AM,08/30/2021 09:24:28 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2228973&imagesize=,"Elizabeth Sherman Park, 2410 Highland Dr, Salt Lake City, UT 84106",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Salt Lake City, UT (Parks);Council District 7;Sugar House",Dillon Hase,,"Elizabeth Sherman Park, 2410 Highland Dr, Salt Lake City, UT 84106","(40.718455, -111.8578981)",Html5
